Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Jaquel Morris,STPC,0.654,0.632,136.5,16.6,23,19.8,3.4,31.8,2.4,9.7,13.5,-7.8,1.6,104.3,91.9,12.5,89.4,17.8,18,14.1,3.3,1.3,2.1,0.632,0,0,0,0.6,0.8,0.733,1.9,2.6,4.4,0.2,0.6,1.1,1.2,1.9,0.17,38.1,0.0,34.0,6-8,F,Jr,MAAC,24-25,25,FORWARD,USA,Saint Peter's,NCAA,-,Low-Major
Jackson Paveletzke,OHIO,0.589,0.546,160.4,2.6,13.7,8.2,27,18.6,1.4,0.1,22.4,1.4,1.4,112.4,108.4,4,334.4,17.8,32,32.4,13.8,5.1,9.8,0.514,0.6,1.9,0.323,3.1,4,0.767,0.7,3.4,4.1,4.8,0.8,0,2.7,1.3,1.78,40.8,19.4,52.8,6-2,G,Jr,MAC,24-25,25,GUARD,USA,Ohio,NCAA,-,Mid-Major
Luke Bamgboye,VCU,0.585,0.598,108.4,12.1,11.7,11.9,4.8,17.9,1.9,14.4,11.9,-2.5,1.4,116.7,90.3,26.4,198.6,17.8,35,16.8,3.8,1.7,2.8,0.598,0,0,0,0.5,1.1,0.486,1.7,1.6,3.3,0.5,0.5,2.1,0.7,2,0.71,39.3,0.0,29.3,6-10,C,Fr,A-10,24-25,25,BIG,GBR,VCU,NCAA,10/27/2004,High-Major
Jabri Abdur-Rahim,PROV,0.599,0.532,161.7,2.6,16.6,10,7.8,8.3,1.3,1.2,21,-0.8,1.4,127.6,103.9,23.7,99.8,17.8,23,15.6,6.9,1.8,4.7,0.376,1.5,4,0.366,1.8,2.1,0.875,0.3,2.2,2.5,0.6,0.3,0.2,0.5,1.5,1.20,44.7,85.1,76.1,6-8,SF,Sr,Big East,24-25,25,WING,USA,Providence,NCAA,3/22/2002,Power 5
Milos Uzan,U of H,0.554,0.534,166.4,1.4,11.6,6.4,25.9,12.2,1.8,0.3,19.9,4.9,1.2,122,96.5,25.5,353,17.8,40,31.5,11.4,4.3,9.6,0.453,1.6,3.6,0.428,1.2,1.5,0.783,0.4,2.7,3.1,4.3,0.9,0.1,1.4,2,3.07,15.6,37.5,63.1,6-4,G,Jr,B12,24-25,25,GUARD,USA,Houston,NCAA,12/26/2002,Power 5
Isaac Davis,USU,0.755,0.706,150.6,12.6,15.6,14.2,7.4,13.1,0.5,0,14.1,-0.6,2.4,151.8,104.9,46.9,30,17.8,19,5.7,2.1,0.6,0.9,0.706,0,0.1,0,0.8,1.1,0.8,0.5,0.7,1.2,0.3,0.1,0,0.2,1.2,1.50,122.2,11.1,48.8,6-8,F,Fr,MWC,24-25,25,FORWARD,USA,Utah State,NCAA,-,High-Major
Chase Ross,MARQ,0.587,0.542,158.6,4.5,11.7,7.9,12.1,13.8,3.4,2.5,17.4,-0.1,1.4,118.2,99.3,18.9,304.5,17.8,34,30.4,10.5,3.4,7.4,0.466,1.1,3.1,0.365,2.5,3.4,0.754,1.1,2.7,3.8,2.1,1.8,0.6,1.4,2.1,1.50,45.9,41.9,63.6,6-5,G,Jr,Big East,24-25,25,GUARD,USA,Marquette,NCAA,2/7/2003,Power 5
Seth Trimble,UNC,0.542,0.47,151.5,5.2,15.4,10.6,7.8,9,2.7,1.2,20.5,-0.7,1.3,114.9,102.7,12.2,294,17.8,34,28.6,11.6,3.8,8.8,0.428,0.7,2.8,0.266,3.4,4.1,0.821,1.2,3.8,5,1.3,1.4,0.3,1.1,1.6,1.18,46.6,31.8,57.3,6-3,PG,Jr,ACC,24-25,25,GUARD,USA,North Carolina,NCAA,8/9/2004,Power 5
Shahid Muhammad,UMass,0.654,0.636,132.1,9.2,11.6,10.3,0.5,15.1,0.9,13.9,12.2,-3.6,1.7,123.3,103.3,19.9,126.3,17.8,31,12.4,3.5,1.4,2.1,0.636,0,0,0,0.8,1.2,0.684,1,1.2,2.2,0,0.2,1.5,0.5,1.2,0.00,57.1,0.0,35.4,6-11,C,So,MAC,24-25,25,BIG,USA,Massachusetts,NCAA,7/8/2002,Mid-Major
Muneer Newton,DESU,0.57,0.58,107.5,13.5,15.2,14.3,6.4,13.6,1.9,3.7,16.8,-2.3,1.4,116.7,102.1,14.5,246.6,17.8,30,25.5,8.9,3.7,6.4,0.58,0,0,0,1.4,2.9,0.494,2.9,3,5.9,0.9,0.9,0.8,1.2,2.5,0.75,45.3,0.0,29.4,6-5,GF,Sr,MEAC,24-25,25,WING,USA,Delaware State,NCAA,-,Low-Major
Myles Rigsby,TROY,0.583,0.5,154.1,5.4,12.4,8.9,10.1,17.5,3,2.4,22.4,-4.6,1.5,113,97.9,15.1,247,17.8,33,28.1,12.2,3.6,7.9,0.458,0.7,2.3,0.286,4.3,5.4,0.798,1.2,2.9,4.1,1.4,1.5,0.6,2.2,2.8,0.64,68.4,29.1,58.2,6-6,F,So,Sun Belt,24-25,25,FORWARD,USA,Troy,NCAA,2/7/2005,Mid-Major
Trey Campbell,UNI,0.549,0.528,165.2,2.3,16.3,9.5,19.2,13.3,2.9,2.3,22,1.4,1.2,108.6,99.7,8.9,298.9,17.7,33,29.5,11.3,4,9.6,0.415,2.2,5.1,0.429,1.2,1.4,0.809,0.5,3.8,4.2,3,1.4,0.5,1.6,2.3,1.88,14.6,53.1,73.0,6-4,G,Jr,MVC,24-25,25,GUARD,USA,Northern Iowa,NCAA,-,High-Major
Wilson Dubinsky,SCSU,0.611,0.589,160.6,3.9,15.7,9.7,12.1,11.4,2.5,0,19,-0.1,1.4,124.3,98.9,25.5,199,17.7,33,18.9,8.1,2.5,5.8,0.435,1.8,4,0.447,1.3,1.8,0.724,0.6,2.2,2.8,1.2,0.8,0,0.8,1.1,1.50,31.0,69.0,73.2,6-3,G,Sr,MEAC,24-25,25,GUARD,CAN,South Carolina State,NCAA,-,Low-Major
Augusto Cassia,BTLR,0.772,0.729,193.7,5.5,17.4,12.2,11.1,17.5,1.2,4.9,13.8,-1.1,2.1,139.4,95.7,43.8,49.1,17.7,10,15.4,5.1,1.6,2.4,0.667,0.3,0.7,0.429,1.6,1.9,0.842,0.6,2.5,3.1,0.8,0.3,0.8,0.7,2.7,1.14,79.2,29.2,62.0,6-8,F,So,Big East,24-25,25,FORWARD,MEX,Butler,NCAA,8/11/2002,Power 5
Emmanuel Stephen,ARZ,0.778,1,100,4.4,27.9,18.1,4.4,23.7,3.3,3.4,12.2,-3.8,2,108,84.2,23.7,12.9,17.7,7,4.9,1.4,0.7,0.7,1,0,0,0,0,0.4,0,0.1,1.3,1.4,0.1,0.3,0.1,0.3,0.6,0.33,57.1,0.0,32.9,7-0,FC,Fr,B12,24-25,25,FORWARD,NIG,Arizona,NCAA,11/28/2005,Power 5
Sean Moore,UNCW,0.517,0.502,137.9,8.3,24.9,16.9,10,15.4,3.6,1.9,21.1,-2.8,1.1,105.6,95.6,9.9,293.4,17.7,35,24.1,8.8,3.4,7.8,0.434,1.1,3.5,0.303,1,1.5,0.642,1.5,5,6.5,1.3,1.5,0.4,1.5,1.8,0.87,19.2,44.9,58.2,6-7,G,Sr,CAA,24-25,25,GUARD,USA,UNC Wilmington,NCAA,-,Mid-Major
Brandon Maclin,RADF,0.542,0.496,148.7,5.3,16.1,10.7,16.7,15,2.8,1.1,21.5,-0.6,1.3,112.6,104.8,7.7,246.5,17.7,32,26.6,10,3.2,7.6,0.426,1.1,3.1,0.343,2.5,3.4,0.718,1.1,3.3,4.3,2.2,1.2,0.3,1.6,1.8,1.38,44.7,40.8,60.8,6-5,F,Jr,BSC,24-25,25,FORWARD,USA,Radford,NCAA,-,Low-Major
Chris Mpaka,TARST,0.527,0.502,158.6,14.7,22.4,18.5,5.3,22.3,2.6,10.9,27.1,-10.4,1.3,92.7,96.1,-3.4,191,17.7,32,19.9,8.5,3.2,6.3,0.5,0,0.1,0.5,2.1,3.6,0.586,2.1,3.2,5.3,0.4,0.9,1.6,2.3,2.9,0.17,57.1,1.6,43.3,6-6,F,Jr,WAC,24-25,25,FORWARD,DRC,Tarleton State,NCAA,10/27/2003,Mid-Major
Dominique Ford,SUU,0.553,0.503,163.6,2.8,9.4,6.3,12.1,10.1,2,0.3,26.6,-1.9,1.2,111,106.2,4.7,174.6,17.7,25,26.8,14.5,4.9,11.6,0.419,2,6.1,0.32,2.8,3.1,0.896,0.6,2.2,2.8,1.4,1,0.1,1.5,1.6,0.93,26.7,52.6,77.4,6-5,F,Sr,WAC,24-25,25,FORWARD,USA,Southern Utah,NCAA,-,Mid-Major
Robert Braswell IV,CHAR,0.606,0.551,166,4.5,9.5,6.8,4.5,10,1.9,3.1,21.6,-2.8,1.5,117.5,111.2,6.3,194.1,17.7,33,25.1,10.9,3.4,7.5,0.459,1.4,3.6,0.375,2.7,3.3,0.826,0.9,1.7,2.6,0.5,0.8,0.7,1,2.7,0.50,44.0,48.0,68.4,6-7,PF,Sr,AAC,24-25,25,FORWARD,USA,Charlotte,NCAA,-,High-Major
Javian McCollum,GT,0.571,0.522,165.7,0.9,10.9,5.9,25.3,15.1,2.6,0.6,22.2,2,1.3,112.4,104.3,8,171.3,17.7,23,24,10.3,3.4,7.9,0.429,1.5,4.1,0.358,2,2.3,0.87,0.2,2.2,2.3,3.1,1.1,0.1,1.6,1.2,1.94,29.1,51.9,68.8,6-2,G,Sr,ACC,24-25,25,GUARD,USA,Georgia Tech,NCAA,3/18/2002,Power 5
Ahmad Henderson II,UIC,0.57,0.491,166.1,1.8,11.8,6.8,21.1,15.6,2.8,0.1,25.2,-0.4,1.4,111.7,104.8,6.9,219.9,17.7,32,24.5,11.8,3.5,8.5,0.407,1.4,4.1,0.354,3.4,3.8,0.901,0.3,2.3,2.7,2.7,1.2,0,1.9,2.4,1.42,44.7,48.2,70.0,5-9,G,So,MVC,24-25,25,GUARD,USA,Illinois Chicago,NCAA,-,High-Major
Jaylon Johnson,TNTCH,0.555,0.506,157.7,2.6,11.2,7,27.1,14.4,2.6,0.1,22.1,2.9,1.3,112.1,106.5,5.5,364.8,17.7,32,35.1,14.3,4.4,11.1,0.4,2.3,6.6,0.355,3,3.7,0.822,0.8,3.4,4.2,4.8,1.6,0,2.2,1.4,2.18,33.3,59.5,81.8,6-0,G,Jr,OVC,24-25,25,GUARD,USA,Tennessee Tech,NCAA,-,Low-Major
Sadraque Nganga,SJSU,0.582,0.588,138.3,11,16.1,13.6,7.7,15.5,1.2,0.2,23.2,-4.6,1.3,108.7,109.8,-1.1,132,17.7,29,15.5,6.8,2.7,5.3,0.516,0.8,2.1,0.367,0.6,1.2,0.5,1.3,2,3.3,0.6,0.3,0,1.1,1,0.55,22.6,39.6,53.3,6-10,F,Jr,MWC,24-25,25,FORWARD,ANG,San Jose State,NCAA,11/24/2003,High-Major
Caleb Zurliene,CAM,0.598,0.554,171.4,6.3,15.1,10.7,11,16.4,2.5,5.9,19,-2.3,1.4,111.2,98.4,12.8,198.1,17.7,32,21,7.4,2.7,5.5,0.497,0.6,1.8,0.339,1.3,1.5,0.878,1,2.4,3.4,1.1,0.9,1.1,1.2,2.4,0.92,27.3,32.7,54.8,6-8,GF,Sr,CAA,24-25,25,WING,USA,Campbell,NCAA,-,Mid-Major
Jlynn Counter,MTSU,0.535,0.504,149.1,1.7,16.4,9.1,24.1,12.9,2.1,1.4,20.7,3.2,1.2,112.9,101.8,11.1,276.9,17.7,31,27.4,10.5,3.8,8.8,0.434,1.2,4,0.304,1.7,2.2,0.754,0.4,3.8,4.2,3.5,1,0.4,1.5,1.6,2.33,25.0,45.5,63.2,6-3,GF,Sr,C-USA,24-25,25,WING,USA,Middle Tennessee,NCAA,-,Mid-Major
Nate Lliteras,UNF,0.584,0.554,156.7,5.7,15.3,10.4,7,8.6,1.3,3.5,18.1,-0.5,1.3,121.1,113.2,7.9,314.8,17.7,32,29.4,12,4.1,8.9,0.46,1.7,4.7,0.362,2.1,2.8,0.744,1.5,3.8,5.3,1.2,0.7,1.2,1,1.8,1.20,31.5,52.8,71.5,6-6,SG,Sr,A-SUN,24-25,25,GUARD,USA,North Florida,NCAA,-,Low-Major
Isaac McKneely,UVA,0.609,0.585,167.4,0.5,10.3,5.5,19,11,1.5,0.4,22.9,1.4,1.3,114.9,111.7,3.2,293,17.7,32,34.4,14.4,4.8,10.8,0.439,3.2,7.5,0.421,1.8,2.2,0.814,0.1,2.6,2.7,2.9,0.8,0.1,1.5,1.5,1.93,20.4,69.4,89.9,6-4,G,Jr,ACC,24-25,25,GUARD,USA,Virginia,NCAA,11/10/2003,Power 5
Amarr Knox,ALAST,0.488,0.443,146.4,2.2,6,4,17.6,8.7,3.4,0.1,28,0.5,1.1,103.4,105.2,-1.7,245.1,17.7,36,28.8,14.5,5.2,12.9,0.401,1.1,3.5,0.307,3,4,0.755,0.6,1.4,2,2.3,1.7,0,1.4,1.5,1.64,31.0,27.1,57.0,6-3,G,So,SWC,24-25,25,GUARD,USA,Alabama State,NCAA,-,Low-Major
Josh Hill,ARKST,0.49,0.482,118.9,7.4,20.6,14,1.6,4.7,0.5,3.5,27.2,-2,1.1,106.9,96.3,10.7,35.4,17.7,17,6.7,3.5,1.2,3.2,0.382,0.6,2.4,0.268,0.4,0.8,0.538,0.5,1.3,1.8,0.1,0.1,0.2,0.2,0.7,0.50,25.0,75.0,55.0,6-11,C,Fr,Sun Belt,24-25,25,BIG,USA,Arkansas State,NCAA,-,Mid-Major
Matthew Mortenson,L-IL,1,1,100,24.9,42.6,33.6,0,50,3.5,0,6.2,-6.1,2,124.4,90.2,34.2,7.5,17.7,8,2,0.3,0.1,0.1,1,0,0,0,0,0,0,0.4,0.6,1,0,0.1,0,0.1,0.1,0.00,0.0,0.0,35.0,6-4,F,So,A-10,24-25,25,FORWARD,USA,Loyola Chicago,NCAA,-,High-Major
Bryan Etumnu,MERRI,0.599,0.574,155.1,4.3,20.4,12.4,4.2,9.3,1.9,8.5,14.2,-1,1.4,117.3,94.1,23.2,311.5,17.7,32,30.7,8.4,3.2,6.1,0.518,0.7,2.2,0.314,1.4,2,0.719,1.1,5,6.1,0.6,1,2.3,0.7,2.8,0.86,32.8,36.1,55.7,6-7,F,Jr,MAAC,24-25,25,FORWARD,USA,Merrimack,NCAA,-,Low-Major
"DeMarr Langford, Jr.",ALBNY,0.555,0.562,105.1,9.6,12.9,11.1,8.2,11.2,2.8,2,16.4,-0.7,1.3,116.6,105,11.6,292.3,17.7,32,30.8,9.9,4.3,7.6,0.562,0,0.1,0,1.4,2.9,0.489,2.5,2.8,5.3,1.4,1.5,0.5,1.1,1.8,1.27,38.2,1.3,28.8,6-4,SG,Sr,AEC,24-25,25,GUARD,USA,Albany,NCAA,-,Low-Major
Jeremy Lorenz,WOFF,0.579,0.552,152.6,6.9,15,10.9,14.7,16,1.9,4.3,19.3,-0.8,1.3,116.3,105,11.3,229.4,17.7,35,22.1,8,3,6,0.5,0.6,2,0.31,1.4,1.9,0.716,1.2,2.6,3.8,1.7,0.7,0.7,1.3,2.3,1.31,31.7,33.3,53.3,6-8,F,So,SoCon,24-25,25,FORWARD,USA,Wofford,NCAA,-,Low-Major
Isaiah Richards,GWU,0.589,0.56,147.5,11.6,28.7,20.3,10.1,18.9,1.5,4.1,15.2,-2,1.5,117,105.1,11.9,253.6,17.7,31,22.1,6.5,2.3,4.3,0.522,0.3,1.1,0.294,1.7,2.5,0.658,2,5.1,7.2,1.3,0.6,0.8,1.3,2.8,1.00,58.1,25.6,49.7,6-10,C,Sr,BSC,24-25,25,BIG,USA,Gardner-Webb,NCAA,2/4/2001,Low-Major
Tyrone Riley IV,SANFR,0.593,0.563,155.9,7.9,18.5,13.1,6.6,10.7,2.4,1.4,16.3,-1.1,1.4,122,97.5,24.5,307.6,17.7,34,28.3,9.6,3.5,7,0.502,0.9,2.6,0.322,1.8,2.4,0.735,1.8,4.2,6,1,1.2,0.4,1,1.9,1.00,34.3,37.1,58.2,6-6,F,Fr,WCC,24-25,25,FORWARD,USA,San Francisco,NCAA,1/4/2006,High-Major
Erik Pratt,UWM,0.534,0.507,150.6,4.3,15,9.4,14.8,12.5,2.3,1.7,24.1,-1,1.2,113.5,102.1,11.4,157,17.6,24,22.5,10.6,3.8,9,0.426,1.5,4.4,0.33,1.5,2,0.75,0.8,2.5,3.3,1.8,0.9,0.3,1.4,1.8,1.29,22.2,48.9,66.0,6-5,G,Sr,Horizon,24-25,25,GUARD,USA,Milwaukee,NCAA,-,Low-Major
Carlos Stewart Jr.,SCU,0.606,0.572,166.7,1.1,9.5,5.4,17.5,13.7,2.5,0.2,20.7,1,1.4,119.9,104.4,15.5,284.8,17.6,34,28.3,12.3,4.1,9,0.459,2,5.1,0.394,2.1,2.5,0.814,0.2,2.3,2.5,2.9,1.3,0.1,1.6,1.5,1.81,27.8,56.7,76.0,6-1,G,Sr,WCC,24-25,25,GUARD,USA,Santa Clara,NCAA,5/6/2003,High-Major
Donovan O'Day,CSFUL,0.526,0.459,149.5,3.8,22.5,13,13.9,15.5,2.2,0.5,30,-5.6,1.3,99.8,109.5,-9.6,203,17.6,31,24.7,12.8,4.1,9.8,0.422,0.7,2.3,0.31,3.8,5,0.763,0.7,4.3,5,1.3,0.9,0.1,2.2,2.1,0.59,51.0,23.5,53.9,6-2,G,Jr,BWC,24-25,25,GUARD,USA,Cal State Fullerton,NCAA,-,Mid-Major
Jo Smith,UTSA,0.556,0.528,172.5,11.4,27.7,19.1,5.8,19.2,2.6,7.3,16.5,-4.2,1.4,108.5,101,7.5,263.3,17.6,30,24.1,7.2,2.6,5.3,0.494,0.4,0.6,0.579,1.6,2.4,0.653,2.4,5.2,7.6,0.8,1.1,1.5,1.5,3.4,0.53,45.3,11.3,49.7,6-9,C,Sr,AAC,24-25,25,BIG,USA,UTSA,NCAA,-,High-Major
Mikey Lewis,STMRY,0.526,0.514,150,2.7,10.6,6.6,7.8,9.3,2.5,1.5,27.9,-2.7,1.1,109.8,95.7,14.1,137.1,17.6,35,16,8.2,3,7.4,0.402,1.7,4.4,0.374,0.6,0.8,0.724,0.3,1.3,1.7,0.6,0.7,0.2,0.8,0.9,0.75,10.8,59.5,67.0,6-3,G,Fr,WCC,24-25,25,GUARD,USA,Saint Mary's,NCAA,9/8/2005,High-Major
Kaden Cooper,LATCH,0.548,0.533,143.7,7.7,26.5,17.7,7.9,15.8,3.1,2.7,19,-3.1,1.2,105.3,93.8,11.6,319.5,17.6,32,28.2,9.3,3.7,7.7,0.476,0.9,3,0.295,1.1,1.7,0.667,1.6,6.2,7.8,1.1,1.5,0.7,1.6,1.7,0.69,22.1,39.0,56.3,6-5,F,So,C-USA,24-25,25,FORWARD,USA,Louisiana Tech,NCAA,5/20/2004,Mid-Major
"DeAndre Craig, Jr.",DEN,0.575,0.554,165.3,3.4,13.8,8.4,19.6,15.6,2.4,0.3,24.3,-1.3,1.2,108.5,109.6,-1.1,233.6,17.6,29,29.8,13.5,5.3,10.8,0.494,1.3,3.4,0.388,1.5,2,0.772,0.8,2.9,3.7,2.7,1.2,0.1,2.2,2.7,1.23,18.5,31.5,61.1,6-0,G,So,Summit,24-25,25,GUARD,USA,Denver,NCAA,-,Low-Major
Jeremiah Johnson,UWGB,0.599,0.532,152,3.6,21.1,12.4,12.2,13.5,1,1,23.5,-2.5,1.5,111.6,114.2,-2.7,207.3,17.6,30,22.9,10.5,3.4,6.8,0.505,0.4,1.7,0.22,3.2,4.1,0.795,0.6,3.9,4.5,1.2,0.4,0.2,1.4,1.8,0.86,60.3,25.0,52.7,6-3,G,Fr,Horizon,24-25,25,GUARD,USA,Green Bay,NCAA,-,Low-Major
Kam Craft,MIAMI,0.582,0.573,163.5,3,11.9,7.6,7.6,9,1,0.8,25,-1.7,1.2,113.2,107.5,5.6,246.4,17.6,34,25.7,13.6,5,11.2,0.446,2.9,6.6,0.431,0.7,1,0.758,0.6,2.4,3,1,0.4,0.2,1.1,0.9,0.91,8.9,58.9,81.5,6-6,F,So,MAC,24-25,25,FORWARD,USA,Miami (OH),NCAA,4/2/2004,Mid-Major
Colby Garland,LONG,0.579,0.509,165.7,1.7,10.9,6.2,28.5,15.6,1.7,0.3,20.7,3.3,1.4,119.3,107.3,12,277,17.6,32,29.3,12.1,4,8.6,0.467,0.7,2.1,0.338,3.4,4,0.852,0.4,2.4,2.8,4.4,0.9,0.1,1.9,2.3,2.32,46.5,24.4,56.0,6-0,G,So,BSC,24-25,25,GUARD,USA,Longwood,NCAA,-,Low-Major
Jamai Felt,BGSU,0.64,0.651,146.6,12.6,24.5,18.5,3.1,19.9,1.2,8.4,13.5,-4.1,1.7,118.8,101,17.8,235.5,17.6,32,20.6,5.7,2.2,3.4,0.642,0.1,0.3,0.25,1.2,2.1,0.574,2.2,4.1,6.3,0.3,0.4,1.4,1.1,2.6,0.27,61.8,8.8,43.4,6-9,F,Fr,MAC,24-25,25,FORWARD,USA,Bowling Green,NCAA,-,Mid-Major
Nasir Mann,QUC,0.572,0.516,152.3,7.7,17.1,12.4,8.8,14.4,2.1,1,21.4,-3,1.5,113.9,105.1,8.7,164.5,17.6,34,15.6,6.6,2,4.5,0.441,0.7,1.9,0.354,2,2.7,0.728,1,2.2,3.2,0.7,0.6,0.1,1,1,0.70,60.0,42.2,58.0,6-5,G,Sr,A-SUN,24-25,25,GUARD,USA,Queens,NCAA,-,Low-Major
Derick Hamilton,UTEP,0.582,0.573,116.8,14.1,13.7,13.9,5.4,18.5,2.1,3.7,25.6,-7.7,1.4,104.2,102.3,1.8,75.5,17.6,32,9.4,4.5,1.8,3.2,0.573,0,0,0,0.8,1.3,0.595,1.1,1,2.1,0.2,0.3,0.3,0.9,2,0.22,40.6,0.0,30.4,6-10,C,Sr,C-USA,24-25,25,BIG,USA,UTEP,NCAA,-,Mid-Major
Jeriah Coleman,UNR,0.823,0.833,158.3,14.8,20,17.4,0,33.6,0,12.3,12.2,-8,2.2,118.8,102,16.8,18.5,17.6,13,4.1,1,0.4,0.5,0.833,0,0,0,0.2,0.3,0.75,0.5,0.6,1.1,0,0,0.4,0.3,0.2,0.00,60.0,0.0,42.3,7-1,C,Sr,MWC,24-25,25,BIG,USA,Nevada,NCAA,-,High-Major
Josh Bascoe,BUCK,0.551,0.522,158.6,1.6,12.2,7.1,25.8,14.4,2.3,0.4,24.7,1.5,1.2,109.2,105.1,4.1,349.4,17.6,33,36.6,15.8,5.6,12.9,0.437,2.2,5.6,0.392,2.4,3.1,0.757,0.4,3.4,3.8,4.4,1.4,0.1,2.4,1.8,1.83,24.0,43.4,73.6,6-0,PG,Sr,Patriot,24-25,25,GUARD,CAN,Bucknell,NCAA,3/11/2002,Low-Major
Shammah Scott,AKR,0.582,0.55,160.8,3.4,13.5,8.5,17.6,11,1.8,1.8,17.8,3,1.3,124.2,103.6,20.6,284.4,17.6,34,24.3,9.4,3.2,7.1,0.45,1.4,3.8,0.375,1.6,2,0.783,0.7,2.8,3.5,2.7,0.8,0.4,1,1.3,2.70,28.2,53.5,67.4,6-2,G,Sr,MAC,24-25,25,GUARD,USA,Akron,NCAA,-,Mid-Major
Judah Brown,USA,0.598,0.577,165,2.2,12.5,7.5,4.3,6.2,1.8,2.6,20.6,-1.1,1.3,119,102.3,16.7,179.4,17.6,32,21.3,9,3,7.1,0.425,2.2,5.7,0.377,0.9,1,0.848,0.4,2.2,2.6,0.4,0.6,0.3,0.5,1.3,0.80,14.1,80.3,80.8,6-6,SF,Sr,Sun Belt,24-25,25,WING,USA,South Alabama,NCAA,-,Mid-Major
Dante DePante,YSU,0.515,0.5,100,13.2,17.3,15.2,30.9,29.2,2.7,0,15.7,3.1,2.5,108.4,92.8,15.6,17,17.6,8,5.1,1.3,0.3,0.5,0.5,0,0,0,0.8,1.5,0.5,0.6,0.8,1.4,1,0.3,0,0.5,0.3,2.00,300.0,0.0,53.0,6-4,G,Fr,Horizon,24-25,25,GUARD,USA,Youngstown State,NCAA,-,Low-Major
Ahamad Bynum,UTEP,0.58,0.555,166,0.6,10.4,5.3,9.9,10.4,2.4,1.1,25.5,-2.2,1.3,108.4,105,3.4,149.8,17.6,29,19.9,10.3,3.3,8.1,0.411,2.3,5.3,0.444,1.3,1.6,0.804,0.1,1.6,1.7,0.9,0.8,0.2,1,1.2,0.90,19.8,65.4,77.7,6-3,SG,Jr,C-USA,24-25,25,GUARD,USA,UTEP,NCAA,-,Mid-Major
Jy'Are Davis,SYRA,0.578,0.563,159.2,7.3,17.3,12.3,10.7,13.8,1.5,1.8,19.3,-1.6,1.4,113.8,109.3,4.5,252.5,17.6,33,24.7,9.4,3.7,6.9,0.528,0.5,1.1,0.432,1.6,2.5,0.631,1.5,3.5,4.9,1.4,0.6,0.4,1.3,1.5,1.08,36.2,15.9,48.9,6-7,SG,Sr,ACC,24-25,25,GUARD,USA,Syracuse,NCAA,1/8/2002,Power 5
Quion Williams,ACU,0.528,0.492,149.6,7.2,15.8,11.3,19,16.5,2.2,2.8,26,-3,1.2,102.1,100.2,1.8,261.4,17.6,30,29.5,13.7,5.2,11.1,0.465,0.6,1.8,0.333,2.8,4,0.697,1.7,3.4,5.1,2.5,1.1,0.7,2.6,2.3,0.96,36.0,16.2,48.8,6-5,G,Jr,WAC,24-25,25,GUARD,USA,Abilene Christian,NCAA,4/27/2005,Mid-Major
Julian Mackey,HCU,0.548,0.505,156,2.4,10.6,6.4,13.3,15.1,2,1.4,32,-5.6,1.3,101.6,107.9,-6.2,185,17.6,31,27.2,15,4.9,11.8,0.413,2.2,6,0.364,3,3.9,0.783,0.5,2.1,2.6,1.5,0.9,0.4,2.4,2.2,0.63,33.1,50.8,77.0,6-2,G,Sr,SLC,24-25,25,GUARD,USA,Houston Christian,NCAA,-,Low-Major
Aiden Sherrell,UA,0.572,0.591,130.8,14.6,21,18.1,6.6,12.2,1.3,2,17.9,-1.8,1.4,120.6,103,17.6,117.6,17.6,36,8.7,3.4,1.3,2.4,0.511,0.4,1.2,0.333,0.5,1.1,0.463,1.1,1.8,2.8,0.4,0.2,0.2,0.4,1.3,1.00,45.8,50.0,51.1,6-10,F,Fr,SEC,24-25,25,FORWARD,USA,Alabama,NCAA,12/25/2004,Power 5
Jaden Henley,UNLV,0.563,0.498,164.8,3.4,14.3,8.9,12.5,15.5,3.3,0.6,23.8,-3.1,1.3,106.5,100,6.5,217.9,17.5,28,29.4,12.5,4,9.3,0.433,1.2,3.5,0.351,3.2,3.7,0.864,0.8,3.4,4.2,1.8,1.6,0.1,2,2.3,0.90,39.8,37.6,64.2,6-7,F,Jr,MWC,24-25,25,FORWARD,USA,UNLV,NCAA,-,High-Major
Tyler Schmidt,VAL,0.585,0.541,170.2,4.2,13.2,8.5,13.4,12.8,2.8,0.8,20.4,-0.7,1.3,115.7,105.2,10.4,229.8,17.5,34,24.8,10.1,3.5,7.5,0.465,1.1,3,0.382,1.9,2.2,0.855,0.9,2.4,3.3,1.6,1.2,0.2,1.3,2.5,1.23,29.3,40.0,62.5,6-3,F,Sr,MVC,24-25,25,FORWARD,USA,Valparaiso,NCAA,-,High-Major
