Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Aydan Clinton,FIU,0.769,1,150,0,20.3,10.9,0,0,0,0,15.6,0,3,155.9,89.6,66.2,2.3,22.3,2,2.5,1.5,0.5,0.5,1,0,0,0,0.5,1,0.5,0,0.5,0.5,0,0,0,0,0,,200.0,0.0,51.9,6-6,,Fr,C-USA,25-26,26,#N/A,USA,Florida International,NCAA,-,Mid-Major
Greyson Uelmen,UND,0.615,0.551,164.3,2.5,10.7,6.4,18.6,15.9,2.6,0.3,29.2,-3.5,1.6,115.8,111.1,4.7,308.3,22.3,35,27.7,16.8,5.3,10.7,0.499,1.1,3.3,0.339,5,6.2,0.806,0.6,2.2,2.8,2.4,1.3,0.1,2.6,2.1,0.92,57.9,30.8,65.0,6-2,G,Fr,Summit,25-26,26,GUARD,USA,North Dakota,NCAA,-,Low-Major
Dejour Reaves,FORD,0.555,0.51,161.8,3.5,11.9,7.6,24.2,12.9,3.3,0.9,28.3,0.1,1.3,114,99.3,14.7,360.5,22.3,31,33.8,17.9,6.7,14.3,0.473,1.1,3.7,0.287,3.3,3.9,0.858,1,3.3,4.3,3.6,1.8,0.2,2.4,1.8,1.50,27.3,25.9,60.3,6-0,G,Sr,A-10,25-26,26,GUARD,USA,Fordham,NCAA,-,High-Major
Robbie Avila,STLOU,0.661,0.622,172.7,3.1,15.9,10.3,25.5,15,1.3,2.2,21.4,3.6,1.6,132.1,97.8,34.3,386,22.3,33,26.2,12.9,4.1,8.1,0.506,1.9,4.5,0.416,2.9,3.6,0.805,0.6,3.9,4.5,4.1,0.6,0.5,1.7,1.8,2.41,44.4,55.6,76.9,6-10,C,Sr,A-10,25-26,26,BIG,USA,Saint Louis,NCAA,9/10/2003,High-Major
Jeremiah Wilkinson,UGA,0.553,0.503,153.9,1.9,7.1,4.6,12.4,8.2,3.5,1.2,30.4,-0.7,1.3,118.6,106.1,12.5,255.5,22.3,30,25.5,17,5.3,12.9,0.41,2.4,6.9,0.35,4,5.1,0.779,0.4,1.6,2,1.8,1.6,0.3,1.4,1.6,1.29,39.5,53.5,82.4,6-1,G,So,SEC,25-26,26,GUARD,CAN,Georgia,NCAA,3/28/2006,Power 5
Dio Blakely,WSU,0.513,0,100,0,18.2,9.5,0,20.4,8,13.7,35.2,-14.2,2,96.8,83.4,13.4,2.3,22.2,5,1.4,0.8,0,0.4,0,0,0.4,0,0.8,0.8,1,0,0.2,0.2,0,0.2,0.2,0.2,0.2,0.00,200.0,100.0,65.0,6-0,G,Fr,WCC,25-26,26,GUARD,USA,Washington State,NCAA,-,High-Major
Jadin Booth,SAMF,0.648,0.603,176,0.9,11.5,6.2,12.8,8.6,1.8,0.2,26,-0.3,1.5,125.6,111,14.6,377.4,22.2,30,36.4,21.6,6.5,14.2,0.454,4.2,9.7,0.436,4.4,5.1,0.869,0.3,3.4,3.7,2.2,1.1,0.1,1.6,2.2,1.38,35.9,68.3,104.6,6-2,G,Sr,SoCon,25-26,26,GUARD,USA,Samford,NCAA,8/26/2002,Low-Major
Tounde Yessoufou,BAYL,0.556,0.526,151.5,9.5,13.2,11.4,9.5,10.5,3.5,1.6,26.9,-2.4,1.3,117.8,106.7,11.1,380.6,22.2,32,32.3,17.8,6.7,14.2,0.469,1.6,5.4,0.302,2.9,3.9,0.744,2.4,3.4,5.8,1.6,2,0.5,1.9,2.3,0.84,27.5,38.0,69.9,6-5,G,Fr,B12,25-26,26,GUARD,USA,Baylor,NCAA,5/15/2006,Power 5
Pryce Sandfort,UNL,0.629,0.606,172.5,2.6,15,9,12.1,4.6,1.8,1.1,23.7,2,1.4,127.9,99,28.9,405.6,22.2,32,33.4,17.8,6.2,13.1,0.471,3.5,8.8,0.401,2,2.3,0.853,0.7,4.2,4.8,2,1,0.3,0.7,1.7,2.86,17.6,67.2,96.4,6-6,SF,Jr,B10,25-26,26,WING,USA,Nebraska,NCAA,6/23/2004,Power 5
Hamad Mousa,POLY,0.609,0.539,169.3,4.2,19.2,11.9,13.3,13,1.7,1.3,28.4,-3.4,1.5,119.1,109.3,9.8,403.4,22.2,32,31.2,20.4,6.1,13.7,0.443,2.6,7.1,0.372,5.6,6.4,0.878,1.1,5.2,6.3,2,1,0.4,2.5,1.8,0.80,46.7,51.8,87.3,6-8,F,So,BWC,25-26,26,FORWARD,QAT,Cal Poly,NCAA,3/28/2006,Mid-Major
Baraka Okojie,MER,0.57,0.477,157.1,2.4,8.3,5.3,28.9,13.3,2.2,0.2,28.3,2.6,1.5,121,110.6,10.4,373.8,22.2,31,34,19.7,5.6,13.1,0.429,1.3,3.9,0.325,7.2,8.8,0.818,0.7,2.4,3.1,5.3,1.4,0.1,2.6,2.2,2.04,67.2,29.8,66.9,6-3,G,Jr,SoCon,25-26,26,GUARD,CAN,Mercer,NCAA,6/15/2005,Low-Major
Lamar Wilkerson,IU,0.609,0.569,172.9,1.7,11.8,7,15.8,8.5,1.7,0.6,29.7,0,1.4,120.1,108.3,11.7,367.9,22.2,32,34.1,20.9,7.1,15.3,0.463,3.3,8.6,0.378,3.5,3.9,0.888,0.4,3.1,3.5,2.4,1,0.2,1.6,2.3,1.50,25.5,56.2,93.6,6-6,F,Sr,B10,25-26,26,FORWARD,USA,Indiana,NCAA,11/17/2001,Power 5
Nate Ament,TENN,0.54,0.458,152.4,7.5,18.4,13.1,15.5,12.4,2,2.3,29.7,-2.2,1.4,119.5,100.3,19.2,354.3,22.2,31,30.2,17.5,5.1,12.7,0.405,1.4,4.1,0.331,5.9,7.5,0.789,1.8,4.8,6.6,2.5,1,0.5,2.3,1.9,1.09,59.1,32.3,66.3,6-9,F,Fr,SEC,25-26,26,FORWARD,USA,Tennessee,NCAA,12/10/2006,Power 5
Joey Chammaa,ARKST,0.635,0.51,156.5,4.2,10.6,7.5,18.6,16.4,2.9,0.3,25.2,-2,2,127.3,105.3,22,131.8,22.2,21,17,9.9,2.1,5,0.423,0.9,2.6,0.327,4.8,5.9,0.815,0.6,1.6,2.2,1.8,0.9,0,1.5,1.3,1.20,118.0,52.0,71.2,5-11,G,So,Sun Belt,25-26,26,GUARD,USA,Arkansas State,NCAA,-,Mid-Major
Ring Malith,SIUE,0.581,0.544,154.4,6.6,15.9,11.3,10.5,10.9,1.9,2.4,27.3,-2.7,1.4,117.7,95.6,22.1,152.1,22.1,14,29.6,17,5.9,12.3,0.477,1.6,5,0.329,3.6,4.9,0.739,1.6,3.9,5.4,1.5,1,0.6,1.8,1.6,0.83,39.8,40.7,71.0,6-9,C,Sr,OVC,25-26,26,BIG,SSD,SIU Edwardsville,NCAA,-,Low-Major
Tyler Cochran,URI,0.546,0.503,148.8,5.6,20.3,12.9,13.8,12.9,5.2,0.8,27.5,-3,1.3,109.7,95.1,14.6,349.1,22.1,32,30.8,15.4,5,11.7,0.429,1.7,5.1,0.335,3.6,5,0.723,1.4,4.8,6.2,1.8,2.7,0.2,2.1,2.7,0.86,42.7,43.6,71.0,6-3,G,Sr,A-10,25-26,26,GUARD,USA,Rhode Island,NCAA,-,High-Major
T.J. Burch,WRST,0.529,0.496,153.3,5.6,7.6,6.6,27.5,14.8,5.8,1.3,27.9,1.2,1.2,110.5,100.9,9.6,288,22.1,33,24.5,12.3,4.7,10.2,0.46,0.7,2.1,0.343,2.2,3,0.73,1,1.4,2.4,3.5,2.5,0.3,2,2.3,1.75,29.4,20.6,50.9,6-1,G,So,Horizon,25-26,26,GUARD,USA,Wright State,NCAA,-,Low-Major
Bernie Blunt III,MC,0.561,0.499,164,2.5,11.2,6.8,15,7.4,2.3,0.1,30.7,0.5,1.3,115.7,103.7,11.9,319.8,22.1,34,30.4,17.6,5.6,13.4,0.421,2.1,5.9,0.355,4.3,5,0.865,0.6,2.5,3.1,2.1,1.1,0,1.3,1.7,1.62,37.3,44.0,77.0,5-11,G,Sr,NEC,25-26,26,GUARD,USA,Mercyhurst,NCAA,-,Low-Major
"Chris Fields, Jr.",CAM,0.51,0.466,118.6,16.6,28.3,22.4,17.6,17.4,3.3,1.7,29.4,-4.9,1.3,105.2,100.7,4.5,214.9,22.1,27,18.7,9.7,3.5,7.5,0.463,0,0.5,0.077,2.7,4.2,0.646,2.6,4.3,6.9,1.6,1.1,0.3,2,2.7,0.80,56.0,6.7,35.3,6-7,F,Jr,CAA,25-26,26,FORWARD,USA,Campbell,NCAA,4/9/2005,Mid-Major
Simeon Cottle,KENN,0.604,0.53,166.4,1.5,7.8,4.6,22.5,13.4,2.5,0.8,28,-0.2,1.5,126.4,102.2,24.2,189.4,22.1,17,30.3,20.2,5.6,13.6,0.411,3.2,8.6,0.377,5.8,6.6,0.876,0.4,2.1,2.5,3.8,1.5,0.2,2.6,2.6,1.46,48.5,63.2,96.7,6-2,G,Sr,C-USA,25-26,26,GUARD,USA,Kennesaw State,NCAA,-,Mid-Major
Henry Sisemore,ETSU,0.402,0.444,44.4,31.6,29.6,30.5,15,9.1,0,6.5,26.2,1.6,0.9,108.8,81.4,27.4,11.5,22.1,7,3,1.1,0.6,1.3,0.444,0,0,0,0,0.3,0,0.7,0.9,1.6,0.3,0,0.1,0.1,0.1,3.00,23.1,0.0,16.4,6-8,F,Fr,SoCon,25-26,26,FORWARD,USA,East Tennessee State,NCAA,-,Low-Major
Isaac Celiscar,YALE,0.657,0.615,172,6.7,17.9,12.6,17.4,11.9,1.5,1.1,18.7,2.5,1.6,136.1,105.1,31,351.6,22,29,30.9,12.7,4.5,7.8,0.577,0.6,1.7,0.347,3.1,3.9,0.796,1.5,4.4,5.9,3.1,0.8,0.3,1.3,1.8,2.38,50.0,21.8,56.4,6-6,F,So,IVY,25-26,26,FORWARD,USA,Yale,NCAA,-,Mid-Major
Dallin Grant,UTECH,0.611,0.625,76.7,11.9,23.1,17.8,4,4.7,1,1.8,19.9,-0.6,1.3,125.1,100.9,24.2,22.9,22,10,5.4,2.5,1.2,2,0.6,0.1,0.6,0.167,0,0.1,0,0.5,1.1,1.6,0.1,0.1,0.1,0.1,0.4,1.00,5.0,30.0,33.6,6-8,SF,So,WAC,25-26,26,WING,USA,Utah Tech,NCAA,-,Mid-Major
Will Felton,NC A&T,0.677,0.696,127.2,14.5,16.1,15.3,3.7,14.9,1.9,1.7,18.6,-4.4,1.7,127.5,111.1,16.4,170.3,22,29,15.8,6.7,2.7,3.9,0.696,0,0,0,1.3,2.3,0.576,1.9,2.3,4.2,0.3,0.5,0.2,0.9,1.8,0.33,59.0,0.0,35.4,6-9,C,Jr,CAA,25-26,26,BIG,USA,NC A&T,NCAA,-,Mid-Major
Arrinten Page,NWU,0.593,0.572,145.1,7.1,18.8,13,16.6,12.6,2.2,6,23.2,-0.1,1.4,115.4,104.8,10.6,264.3,22,29,22.8,10.2,3.9,7.1,0.546,0.4,1.5,0.25,2,3.1,0.656,1.2,3.3,4.5,1.8,0.9,1.2,1.2,1.7,1.50,43.7,21.1,48.6,6-11,FC,Jr,B10,25-26,26,FORWARD,USA,Northwestern,NCAA,3/17/2005,Power 5
Amani Hansberry,VT,0.576,0.545,157.9,11.9,18.4,15.2,15.8,14.2,2.8,2.5,24.1,-1.5,1.3,117.4,102.9,14.5,364,22,30,30.7,14.3,5.3,10.8,0.492,1.1,3.2,0.351,2.6,3.5,0.736,2.8,4.5,7.4,2.4,1.5,0.7,2.1,3.1,1.14,32.4,29.6,60.0,6-8,FC,Jr,ACC,25-26,26,FORWARD,USA,Virginia Tech,NCAA,-,Power 5
Andrew McKeever,STMRY,0.539,0.507,116.3,21.3,26.8,24.2,14.3,18,1.5,4,21.3,-2.6,1.3,115.9,92.3,23.6,341,22,32,22.9,8.4,3.3,6.5,0.507,0,0,0,1.8,2.8,0.656,3.8,5.3,9.1,1.7,0.6,0.8,1.7,2.1,1.00,43.1,0.0,29.7,7-1,C,So,WCC,25-26,26,BIG,USA,Saint Mary's,NCAA,-,High-Major
Trevon Brazile,ARK,0.624,0.598,159.6,6.4,22.6,14.6,7.7,9.2,2.7,5.2,17.7,-0.1,1.5,129.7,104.7,25,440,22,32,31.4,13.2,4.7,8.8,0.532,1.2,3.4,0.339,2.6,3.6,0.724,1.6,5.8,7.3,1.6,1.5,1.6,1.1,1.9,1.45,40.9,38.6,64.4,6-10,F,Sr,SEC,25-26,26,FORWARD,USA,Arkansas,NCAA,1/7/2003,Power 5
Sam Orme,BLMNT,0.653,0.651,159.2,5.8,17.9,12.4,12.8,10.2,2.1,3.6,21.5,0.4,1.4,126.8,100.7,26.2,299.5,22,29,25.5,12.7,5,9,0.559,1.7,4.2,0.397,1,1.5,0.636,1.1,4,5,1.8,0.9,0.7,1.1,2.8,1.64,16.7,46.7,68.8,6-9,F,So,MVC,25-26,26,FORWARD,USA,Belmont,NCAA,-,High-Major
"Jamal West, Jr.",UTEP,0.594,0.564,150.9,9.1,17.9,13.4,10.5,13.3,1.9,5.1,23.8,-3.2,1.5,116.3,105.1,11.2,346.6,22,31,31,14.5,5.2,9.4,0.55,0.3,0.9,0.296,3.9,5.8,0.663,2.3,4.4,6.6,1.4,1,1.3,1.9,2.8,0.74,61.7,9.6,46.9,6-6,F,Sr,C-USA,25-26,26,FORWARD,USA,UTEP,NCAA,-,Mid-Major
Antwone Woolfolk,MIAMI,0.656,0.667,155,8.1,20.6,14.9,11.4,16.8,3.3,3.3,20.3,-2.3,1.6,121.1,98.2,22.9,301.9,21.9,31,23.3,10.3,4.2,6.5,0.64,0.4,1,0.344,1.5,2.7,0.566,1.4,4.1,5.5,1.5,1.4,0.7,1.6,2.3,0.94,41.5,15.4,48.7,6-9,FC,Sr,MAC,25-26,26,FORWARD,USA,Miami (OH),NCAA,-,Mid-Major
Jamal Fuller,LIU,0.641,0.602,173.2,5.1,15.9,10.6,14.8,14.1,1.7,3.3,22.7,-1.2,1.6,125.4,103.7,21.7,405.1,21.9,33,33.5,16.4,5.5,10.4,0.525,1.6,3.7,0.438,3.8,5,0.77,1.3,4.2,5.5,2.5,1,1.1,2.1,2.8,1.19,48.1,35.6,69.7,6-5,F,Sr,NEC,25-26,26,FORWARD,CAN,Long Island,NCAA,-,Low-Major
Landon Lewis,BRWN,0.567,0.563,154.5,9.8,19.9,14.7,14.4,13.5,1.8,3.8,27.8,-3.4,1.3,109.2,99.7,9.5,247.3,21.9,21,30.8,16.6,6.9,12.5,0.551,0.3,0.7,0.429,2.5,4.4,0.565,2.5,4.8,7.2,1.9,1,0.9,2.3,2.5,0.83,35.2,5.6,44.1,6-7,GF,Sr,IVY,25-26,26,WING,USA,Brown,NCAA,-,Mid-Major
Ryan Williams,NEU,0.656,0.623,184.8,3.8,5.6,4.6,20.7,9.2,2.6,0.5,21.3,3.2,1.5,131.6,118.4,13.2,144.4,21.9,28,14.8,7.4,2.6,5.1,0.514,1.1,2.6,0.425,1.1,1.2,0.909,0.5,0.6,1.1,1.6,0.7,0.1,0.6,1.3,2.67,23.5,51.0,65.7,6-3,GF,So,CAA,25-26,26,WING,USA,Northeastern,NCAA,-,Mid-Major
Alex Condon,FLA,0.588,0.562,136.6,8.9,18.3,13.8,19.1,16.4,1.2,4.5,22.6,-0.6,1.5,120.4,98.2,22.2,425.5,21.9,32,30.6,15,5.5,10,0.548,0.3,1.7,0.17,3.7,5.7,0.648,2.4,5.3,7.7,3.5,0.7,1.4,2.5,2.8,1.40,57.0,17.0,48.1,6-11,FC,Jr,SEC,25-26,26,FORWARD,AUS,Florida,NCAA,7/25/2004,Power 5
Isaiah Brickner,IDAHO,0.603,0.57,167.6,4.1,19.5,11.8,9.7,10.3,1.9,0.5,27.5,-2.6,1.4,118.8,102.3,16.5,238.9,21.9,34,20.4,12.1,4.2,8.6,0.491,1.4,3.2,0.422,2.3,3,0.762,0.7,3.2,3.9,0.9,0.7,0.1,1.1,2.2,0.82,34.9,37.2,64.3,6-4,G,Sr,BSKY,25-26,26,GUARD,USA,Idaho,NCAA,-,Low-Major
Keith McKnight,QUIN,0.574,0.554,143.8,11.5,16.3,13.8,9.2,11.6,3,3,21.1,-2,1.4,118.7,99.9,18.8,306.3,21.9,32,24.8,11,4.3,7.8,0.546,0.1,0.5,0.267,2.3,3.8,0.625,2.5,3.4,5.9,1.1,1.3,0.7,1.3,2.2,0.85,48.7,6.4,41.3,6-7,GF,Fr,MAAC,25-26,26,WING,USA,Quinnipiac,NCAA,-,Low-Major
Isaac Garrett,OAKL,0.595,0.548,159.1,10,20.1,15.1,14.7,13.9,2.1,3.5,22.4,-1,1.4,120.1,111.6,8.6,334.9,21.9,28,29,13.7,5.2,9.7,0.537,0.2,0.9,0.25,3.1,3.8,0.804,2.4,4.8,7.1,2.3,1.1,1,1.9,3.1,1.21,39.2,9.3,44.9,6-8,F,Jr,Horizon,25-26,26,FORWARD,USA,Oakland,NCAA,-,Low-Major
Aden Holloway,UA,0.643,0.599,178.2,1.1,8.9,5.2,23.7,10.1,1.1,0,23.6,3.4,1.5,133.2,116.6,16.6,311,21.9,28,28.5,16.8,5.4,11.2,0.481,2.6,6,0.438,3.4,3.9,0.864,0.3,2.5,2.8,3.8,0.6,0,1.5,1.8,2.53,34.8,53.6,83.6,6-1,G,Jr,SEC,25-26,26,GUARD,USA,Alabama,NCAA,9/7/2004,Power 5
"Corey Camper, Jr.",UNR,0.583,0.544,166.6,4.1,13.9,8.9,16.7,7.8,2.2,1.2,25.4,1,1.3,121.9,106.4,15.4,341.1,21.9,30,31.9,17,5.8,12.6,0.458,2.2,5.3,0.411,3.3,4.1,0.797,1,3.4,4.4,2.3,1.2,0.3,1.2,1.5,1.92,32.5,42.1,74.7,6-5,G,Sr,MWC,25-26,26,GUARD,USA,Nevada,NCAA,-,High-Major
Filip Brankovic,UTRGV,0.61,0.582,169.5,8.9,14.5,11.9,18.2,12.5,1,1.9,27.3,-1,1.3,119.2,105,14.2,278.9,21.9,32,24,13,5.1,9.7,0.526,1.1,3.3,0.333,1.8,2.1,0.836,1.5,2.9,4.4,1.9,0.4,0.4,1.5,2.3,1.27,21.6,34.0,61.8,6-8,C,Fr,SLC,25-26,26,BIG,SRB,UT Rio Grande Valley,NCAA,1/24/2003,Low-Major
"Christian Anderson, Jr.",TXTCH,0.634,0.608,169.9,2.1,9.1,5.7,36,18.5,2,0.7,24.1,4.5,1.4,126.3,108.8,17.5,474.5,21.9,31,38.5,18.9,6.3,13.2,0.479,3.4,8,0.425,2.9,3.6,0.795,0.6,3,3.6,7.6,1.3,0.3,3.4,2,2.24,27.3,60.6,92.6,6-2,G,So,B12,25-26,26,GUARD,USA,Texas Tech,NCAA,4/2/2006,Power 5
Terrence Brown,U of U,0.54,0.486,155.4,1.4,8.3,4.9,27.8,11.7,2.5,0.3,34.1,0.4,1.3,110.1,115.8,-5.7,317.5,21.8,32,31.5,19.9,7,15.4,0.453,1,3.1,0.327,4.9,6.4,0.775,0.3,2.1,2.4,3.8,1.4,0.1,2.4,1.6,1.58,41.6,20.1,57.5,6-3,G,Jr,B12,25-26,26,GUARD,USA,Utah,NCAA,-,Power 5
Mohamed Wague,OKLA,0.636,0.616,146.2,18.9,19.6,19.2,9.7,17.3,1.7,7.4,15.5,-1.5,1.8,132.7,106.5,26.1,322,21.8,34,21.9,7.1,2.4,3.9,0.612,0,0.1,0.2,2.3,3.5,0.65,3.3,3.5,6.7,1.3,0.6,1.5,1.2,2.9,1.08,89.7,2.6,43.6,6-10,C,Sr,SEC,25-26,26,BIG,MLI,Oklahoma,NCAA,-,Power 5
"Nigel James, Jr.",MARQ,0.547,0.52,151,3,11.3,7.1,37.2,15.5,3.8,1.2,30.2,1.7,1.3,108.2,105.6,2.6,356.3,21.8,32,29.1,16.4,6.2,13.1,0.47,1.3,3.8,0.347,2.8,4.1,0.692,0.8,2.7,3.4,4.9,2,0.3,2.8,2.2,1.75,31.3,29.0,61.2,6-0,G,Fr,Big East,25-26,26,GUARD,USA,Marquette,NCAA,-,Power 5
David Mirkovic,ILL,0.599,0.566,163.6,10.3,21.3,16.1,16.4,14.2,0.9,1.1,22.5,-0.3,1.4,127.2,103.5,23.7,378.9,21.8,32,29.3,13.4,4.7,9.7,0.487,1.5,4.1,0.371,2.4,3.1,0.778,2.4,5.4,7.8,2.6,0.4,0.3,1.8,2,1.44,32.0,42.3,68.1,6-9,PF,Fr,B10,25-26,26,FORWARD,MNG,Illinois,NCAA,1/6/2006,Power 5
Qadir Martin,MC,0.592,0.589,138.6,8.8,20.6,14.6,6.7,8.5,1.8,9,18.7,-0.8,1.3,120.3,97,23.3,414.8,21.8,34,31.4,11.6,5,8.6,0.582,0.1,0.5,0.222,1.5,2.5,0.581,2.1,4.8,7,1,0.9,2.4,0.9,2.4,1.11,29.1,5.8,38.4,6-5,F,So,NEC,25-26,26,FORWARD,USA,Mercyhurst,NCAA,-,Low-Major
Spudd Webb,GASO,0.626,0.566,164.4,4.3,13.4,8.7,15.4,11.7,2.9,2.3,21.3,0.1,1.6,127.2,108.5,18.6,433.8,21.8,37,32.4,15.5,5,9.9,0.507,1.2,3.6,0.319,4.4,5.4,0.818,1.2,3.4,4.6,2.5,1.7,0.6,1.6,2.8,1.56,54.5,36.4,67.0,6-4,G,Sr,Sun Belt,25-26,26,GUARD,USA,Georgia Southern,NCAA,-,Mid-Major
Carey Booth,COLST,0.656,0.6,174.9,6.2,24,15.8,5.7,11.2,1.1,5.2,20.5,-2.5,1.6,128.1,106.7,21.4,316.8,21.8,33,24.7,10.7,3.4,6.5,0.523,1,2.5,0.398,2.9,3.5,0.828,1,4.6,5.6,0.7,0.5,1,1,1,0.70,53.8,38.5,64.8,6-10,F,Jr,MWC,25-26,26,FORWARD,USA,Colorado State,NCAA,7/18/2005,High-Major
Blue Cain,UGA,0.587,0.542,168.5,6.9,14.1,10.6,16.1,8.8,2.7,0.7,20.7,2.3,1.3,129.9,106.3,23.6,364,21.8,32,27.9,13.3,4.8,10.1,0.472,1.4,4.6,0.308,2.4,2.6,0.905,1.6,3.5,5.1,2.7,1.4,0.2,1.1,1.6,2.45,25.7,45.5,69.7,6-5,G,Jr,SEC,25-26,26,GUARD,USA,Georgia,NCAA,9/25/2004,Power 5
Evan Ipsaro,MIAMI,0.675,0.631,175.6,2.5,7.6,5.4,18.7,10.8,2.6,0,20.4,3.2,1.7,137.7,98,39.7,128.5,21.8,12,27.9,13.9,4.7,8.3,0.566,1.1,2.8,0.382,3.5,4.3,0.808,0.5,1.9,2.4,3.3,1.3,0,1.3,1.3,2.54,51.8,33.7,65.5,6-0,PG,Jr,MAC,25-26,26,GUARD,USA,Miami (OH),NCAA,-,Mid-Major
Tamaury Releford,MRHD,0.637,0.641,122,15.3,18.7,17,2.2,14.4,1.9,5.9,18.9,-4.8,1.5,121.9,105.3,16.5,177.5,21.8,33,14.1,5.8,2.5,4,0.641,0,0,0,0.7,1.2,0.579,1.7,2.2,3.9,0.2,0.5,0.8,0.8,1.8,0.25,30.0,0.0,31.1,6-9,F,Sr,OVC,25-26,26,FORWARD,USA,Morehead State,NCAA,-,Low-Major
Miro Little,UCSB,0.611,0.536,163.3,1.6,23.5,12.9,29.7,17.8,2.7,1.6,21.6,3.3,1.6,123.5,99.8,23.6,218,21.8,18,28.6,11.9,3.5,7.6,0.46,1.2,3.4,0.344,3.8,4.6,0.829,0.3,5.1,5.4,4.6,1.3,0.4,2.1,1.5,2.19,60.5,44.7,68.0,6-3,G,Jr,BWC,25-26,26,GUARD,FIN,UC Santa Barbara,NCAA,5/30/2004,Mid-Major
Lazar Djokovic,VCU,0.627,0.557,164.7,8.5,15.1,11.9,7.1,12.5,1.1,4.7,22.3,-3.1,1.7,126.6,103.1,23.6,328.3,21.8,32,27.8,13.8,4.1,8,0.516,0.7,1.8,0.356,4.8,6.3,0.775,1.9,3.5,5.4,1,0.6,1.3,1.6,2,0.63,78.8,22.5,58.8,6-11,C,Jr,A-10,25-26,26,BIG,SRB,VCU,NCAA,4/15/2004,High-Major
Dra Gibbs-Lawhorn,UNLV,0.631,0.598,177.3,1.7,9.9,5.8,15.6,12.9,2.5,1.8,27.2,-2.1,1.4,120.6,110.3,10.3,374.1,21.8,33,34.1,20.7,7.3,14.6,0.498,2.9,6.9,0.419,3.2,3.8,0.856,0.5,2.7,3.1,2.5,1.5,0.5,2.4,3.2,1.04,26.0,47.3,85.3,6-1,G,Jr,MWC,25-26,26,GUARD,USA,UNLV,NCAA,2/1/2005,High-Major
Jalen Reed,LSU,0.634,0.614,166.7,14.8,19.8,17.7,6.1,19.7,2.5,1.9,24.6,-7.6,1.6,116.6,90.7,25.9,46.4,21.8,6,17.8,9.5,3.3,5.8,0.571,0.5,1.2,0.429,2.3,3.5,0.667,2,3.7,5.7,0.7,0.8,0.3,1.8,1.7,0.39,60.3,20.7,54.7,6-10,C,Sr,SEC,25-26,26,BIG,USA,LSU,NCAA,2/24/2003,Power 5
Josh Scovens,DAV,0.592,0.577,154.9,9,13.2,11.1,15.9,11.8,2.2,2.5,23.1,-0.2,1.4,120.2,103.7,16.5,276.4,21.8,32,25,11.1,4.4,7.9,0.555,0.3,1,0.355,1.9,3,0.639,1.8,2.5,4.3,1.8,0.9,0.5,1.3,2,1.38,38.0,12.7,46.7,6-6,GF,Jr,A-10,25-26,26,WING,USA,Davidson,NCAA,-,High-Major
Jordan Pyke,UIW,0.597,0.571,163.3,7.1,19.9,13.2,13.2,10.7,1.5,1.6,23.4,-0.8,1.4,124,110.3,13.7,242.3,21.8,27,25.4,12.6,4.7,8.9,0.523,0.9,2.1,0.404,2.4,3.4,0.707,1.4,3.7,5.1,1.6,0.6,0.4,1.3,2.4,1.23,38.2,23.6,55.9,6-7,PF,Jr,SLC,25-26,26,FORWARD,USA,Incarnate Word,NCAA,-,Low-Major
Jason Rivera-Torres,MONM,0.523,0.462,152.7,8.9,19.2,14,16.9,11.1,3.4,3.7,24.7,0.2,1.2,113.4,98.3,15,480,21.7,34,35.4,15.8,5.1,12.8,0.402,1.5,4.9,0.315,4,4.9,0.81,2.6,5.5,8.1,2.9,2.1,1.1,1.9,2.4,1.53,38.3,38.3,68.4,6-7,F,Jr,CAA,25-26,26,FORWARD,USA,Monmouth,NCAA,-,Mid-Major
Mekhi Turner,TNTCH,0.624,0.619,122.9,15.1,21.2,18.2,10.2,17.1,2.3,3.2,21.6,-4.2,1.6,118.7,104,14.6,87.9,21.7,25,9.1,4.1,1.6,2.5,0.619,0,0,0,1,1.6,0.61,1.1,1.6,2.7,0.4,0.4,0.3,0.7,1.6,0.57,64.0,0.0,34.3,6-8,F,So,OVC,25-26,26,FORWARD,USA,Tennessee Tech,NCAA,-,Low-Major
Peter Suder,MIAMI,0.635,0.613,170.7,6.2,12.4,9.6,21.8,14.2,2.4,1.4,21.8,2.4,1.5,127.9,102.3,25.7,381.6,21.7,31,30.8,14.6,5.5,9.8,0.554,1.2,2.7,0.429,2.5,3.5,0.725,1.4,3.3,4.7,4,1.4,0.4,1.9,2.8,2.11,35.7,27.6,61.4,6-5,G,Sr,MAC,25-26,26,GUARD,USA,Miami (OH),NCAA,-,Mid-Major
